contract_address,blockchain,type,protocol_name,protocol_symbol,description,website_url
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,ethereum,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0x4537e328bf7e4efa29d05caea260d7fe26af9d74,xdai,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
1f9840a85d5af5bf1d1762f925bdaddc4201f984.factory.bridge.near,near-protocol,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0x6fd9d7ad17242c41f7131d257212c54a0e816691,optimistic-ethereum,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0x22c54ce8321a4015740ee1109d9cbc25815c46e6,huobi-token,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,arbitrum-one,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0xb33eaad8d922b1083446dc23f610c2567fb5180f,polygon-pos,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0x90d81749da8867962c760414c1c25ec926e889b6,harmony-shard-0,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0x8ebaf22b6f053dffeaf46f4dd9efa95d89ba8580,avalanche,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0x665b3a802979ec24e076c80025bff33c18eb6007,energi,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0x009be848df92a400da2f217256c88d1a9b1a0304f9b3e90991a67418e1d3b08c,sora,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0xbf5140a22578168fd562dccf235e5d43a02ce9b1,binance-smart-chain,DEX,Uniswap,uni,"UNI is the governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token holders to participate in the governance of the protocol. Key decisions such as usage of the treasury or future upgrades ca",https://uniswap.org/
0xd533a949740bb3306d119cc777fa900ba034cd52,ethereum,DEX,Curve DAO,crv,"Similar to Uniswap, Curve Finance is an Automated Market Maker (AMM) based Decentralised Exchange (DEX). Unlike Uniswap, its main focus is only to swap between assets that are supposed to have the same value. This is useful in the DeFi ecosystem as t",https://www.curve.fi/
0x0994206dfe8de6ec6920ff4d779b0d950605fb53,optimistic-ethereum,DEX,Curve DAO,crv,"Similar to Uniswap, Curve Finance is an Automated Market Maker (AMM) based Decentralised Exchange (DEX). Unlike Uniswap, its main focus is only to swap between assets that are supposed to have the same value. This is useful in the DeFi ecosystem as t",https://www.curve.fi/
0x172370d5cd63279efa6d502dab29171933a610af,polygon-pos,DEX,Curve DAO,crv,"Similar to Uniswap, Curve Finance is an Automated Market Maker (AMM) based Decentralised Exchange (DEX). Unlike Uniswap, its main focus is only to swap between assets that are supposed to have the same value. This is useful in the DeFi ecosystem as t",https://www.curve.fi/
