date,chain,tvl,share_within_chains
2020-10-17,Ethereum,20165,1.0
2020-10-18,Ethereum,20179,1.0
2020-10-19,Ethereum,20163,1.0
2020-10-20,Ethereum,20135,1.0
2020-10-21,Ethereum,27818,1.0
2020-10-22,Ethereum,27720,1.0
2020-10-23,Ethereum,133244,1.0
2020-10-24,Ethereum,133673,1.0
2020-10-25,Ethereum,203242,1.0
2020-10-26,Ethereum,203476,1.0
2020-10-27,Ethereum,139677,1.0
2020-10-28,Ethereum,139463,1.0
2020-10-29,Ethereum,185051,1.0
2020-10-30,Ethereum,120665,1.0
2020-10-31,Ethereum,218666,1.0
2020-11-01,Ethereum,218621,1.0
2020-11-02,Ethereum,217827,1.0
2020-11-03,Ethereum,233311,1.0
2020-11-04,Ethereum,233356,1.0
2020-11-05,Ethereum,176375,1.0
2020-11-06,Ethereum,196701,1.0
2020-11-07,Ethereum,196581,1.0
2020-11-08,Ethereum,196646,1.0
2020-11-09,Ethereum,197469,1.0
2020-11-10,Ethereum,191997,1.0
2020-11-11,Ethereum,201524,1.0
2020-11-12,Ethereum,202223,1.0
2020-11-13,Ethereum,232509,1.0
2020-11-14,Ethereum,213550,1.0
2020-11-15,Ethereum,211722,1.0
2020-11-16,Ethereum,211456,1.0
2020-11-17,Ethereum,230137,1.0
2020-11-18,Ethereum,229731,1.0
2020-11-19,Ethereum,202147,1.0
2020-11-20,Ethereum,372403,1.0
2020-11-21,Ethereum,371338,1.0
2020-11-22,Ethereum,32007880,1.0
2020-11-23,Ethereum,33467574,1.0
2020-11-24,Ethereum,31357976,1.0
2020-11-25,Ethereum,27917946,1.0
2020-11-26,Ethereum,17713619,1.0
2020-11-27,Ethereum,1666234,1.0
2020-11-28,Ethereum,2146972,1.0
2020-11-29,Ethereum,2586557,1.0
2020-11-30,Ethereum,2483879,1.0
2020-12-01,Ethereum,2520745,1.0
2020-12-02,Ethereum,2715602,1.0
2020-12-03,Ethereum,3563478,1.0
2020-12-04,Ethereum,2248692,1.0
2020-12-05,Ethereum,3225888,1.0
