date,protocol,tvl
2020-10-17,centrifuge,20165
2020-10-18,centrifuge,20179
2020-10-19,centrifuge,20163
2020-10-20,centrifuge,20135
2020-10-21,centrifuge,27818
2020-10-22,centrifuge,27720
2020-10-23,centrifuge,133244
2020-10-24,centrifuge,133673
2020-10-25,centrifuge,203242
2020-10-26,centrifuge,203476
2020-10-27,centrifuge,139677
2020-10-28,centrifuge,139463
2020-10-29,centrifuge,185051
2020-10-30,centrifuge,120665
2020-10-31,centrifuge,218666
2020-11-01,centrifuge,218621
2020-11-02,centrifuge,217827
2020-11-03,centrifuge,233311
2020-11-04,centrifuge,233356
2020-11-05,centrifuge,176375
2020-11-06,centrifuge,196701
2020-11-07,centrifuge,196581
2020-11-08,centrifuge,196646
2020-11-09,centrifuge,197469
2020-11-10,centrifuge,191997
2020-11-11,centrifuge,201524
2020-11-12,centrifuge,202223
2020-11-13,centrifuge,232509
2020-11-14,centrifuge,213550
2020-11-15,centrifuge,211722
2020-11-16,centrifuge,211456
2020-11-17,centrifuge,230137
2020-11-18,centrifuge,229731
2020-11-19,centrifuge,202147
2020-11-20,centrifuge,372403
2020-11-21,centrifuge,371338
2020-11-22,centrifuge,371195
2020-11-22,truefi,31636685
2020-11-23,centrifuge,372005
2020-11-23,truefi,33095569
2020-11-24,centrifuge,371946
2020-11-24,truefi,30986030
2020-11-25,centrifuge,431503
2020-11-25,truefi,27486443
2020-11-26,centrifuge,493918
2020-11-26,truefi,17219701
2020-11-27,centrifuge,516000
2020-11-27,truefi,1150234
2020-11-28,centrifuge,445050
2020-11-28,truefi,1701922
2020-11-29,centrifuge,509385
2020-11-29,truefi,2077172
2020-11-30,centrifuge,386149
2020-11-30,truefi,2097730
2020-12-01,centrifuge,385440
2020-12-01,truefi,2135305
2020-12-02,centrifuge,425374
2020-12-02,truefi,2290228
2020-12-03,centrifuge,425082
2020-12-03,truefi,3138396
2020-12-04,centrifuge,474689
2020-12-04,truefi,1774003
2020-12-05,centrifuge,475605
2020-12-05,truefi,2750283
2020-12-06,centrifuge,516128
2020-12-06,truefi,3906736
2020-12-07,centrifuge,515710
2020-12-07,truefi,2792190
2020-12-08,centrifuge,425696
2020-12-08,truefi,3608015
2020-12-09,centrifuge,431039
2020-12-09,truefi,4008431
2020-12-10,centrifuge,428752
2020-12-10,truefi,4629405
2020-12-11,centrifuge,429502
2020-12-11,truefi,1346120
2020-12-12,centrifuge,427862
2020-12-12,truefi,2231565
2020-12-13,centrifuge,427374
2020-12-13,truefi,5045847
2020-12-14,centrifuge,427351
2020-12-14,truefi,1666137
2020-12-15,centrifuge,427309
2020-12-15,truefi,2298406
2020-12-16,centrifuge,427839
2020-12-16,truefi,3165191
2020-12-17,centrifuge,541709
2020-12-17,truefi,3348847
2020-12-18,centrifuge,512132
2020-12-18,truefi,2487169
2020-12-19,centrifuge,513983
2020-12-19,truefi,2563120
2020-12-20,centrifuge,513406
2020-12-20,truefi,2477653
2020-12-21,centrifuge,589981
2020-12-21,truefi,2616660
2020-12-22,centrifuge,423158
2020-12-22,truefi,2866416
2020-12-23,centrifuge,531843
2020-12-23,truefi,2866416
2020-12-24,centrifuge,553266
2020-12-24,truefi,3672409
2020-12-25,centrifuge,553145
2020-12-25,truefi,3709900
2020-12-26,centrifuge,582614
2020-12-26,truefi,5214012
2020-12-27,centrifuge,592339
2020-12-27,truefi,5375396
2020-12-28,centrifuge,687224
2020-12-29,centrifuge,619771
2020-12-29,truefi,9002609
2020-12-30,centrifuge,546295
2020-12-30,truefi,9079491
2020-12-31,centrifuge,418413
2020-12-31,truefi,9098154
2021-01-01,centrifuge,495698
2021-01-01,truefi,2813665
2021-01-02,centrifuge,472476
2021-01-02,truefi,2945154
2021-01-03,centrifuge,314439
2021-01-03,truefi,3586550
2021-01-04,centrifuge,312870
2021-01-04,truefi,3844472
2021-01-05,centrifuge,313550
2021-01-05,truefi,5578667
2021-01-06,centrifuge,297566
2021-01-06,truefi,6202876
2021-01-07,centrifuge,342812
2021-01-07,truefi,7763157
2021-01-08,centrifuge,469669
2021-01-08,truefi,5138580
2021-01-09,centrifuge,239863
2021-01-09,truefi,5071916
2021-01-10,centrifuge,240305
2021-01-10,truefi,5646921
2021-01-11,centrifuge,273784
2021-01-11,truefi,4985660
2021-01-12,centrifuge,282478
2021-01-12,truefi,5678540
2021-01-13,centrifuge,376821
2021-01-13,truefi,11449294
2021-01-14,centrifuge,378629
2021-01-14,truefi,11709692
2021-01-15,centrifuge,508442
2021-01-15,truefi,6820865
2021-01-16,centrifuge,508079
2021-01-16,truefi,7273076
2021-01-17,centrifuge,337760
2021-01-17,truefi,6942286
2021-01-18,centrifuge,337487
2021-01-18,truefi,8058529
2021-01-19,centrifuge,364834
2021-01-19,truefi,9061098
2021-01-20,centrifuge,376659
2021-01-20,truefi,10142838
2021-01-21,centrifuge,290380
2021-01-21,truefi,8974688
2021-01-22,centrifuge,152475
2021-01-22,truefi,7742884
2021-01-23,centrifuge,164686
2021-01-23,truefi,9602736
2021-01-24,centrifuge,174303
